Warehouse Name,Status,Location,Price per SqFt,Total Square Footage,Total Price,Age of Warehouse,Distance to Highways (miles),Distance to Ports/Airports (miles),NOI,Cap Rate (%),Year of Last Renovation,Number of Loading Docks,Clear Height (ft),Parking and Storage Capacity,Warehouse Type,Zoning Regulations,Environmental Concerns,Neighboring Land Use,Condition of Property,Security Features,Energy Efficiency Features
Warehouse 1,Sold,Fall River,93.67182020405161,367876,34459614.52938569,30,7.608541861985839,28.308218190401117,1407575.2780871254,7.034267133820356,2000,33,30.53991845367429,271,Flex Space,Industrial,Protected Area,Residential,Fair,Moderate,None
Warehouse 2,Sold,Worcester,191.62143208968575,294227,56380199.099451974,84,18.732790963986222,8.645754755658867,426097.60894474783,4.3777990119580386,2002,44,15.566400436318473,363,Flex Space,Industrial,High Pollution,Industrial,Fair,High,Solar Panels
Warehouse 3,Sold,Lowell,154.43897010793887,223118,34458114.1325431,85,13.535287216878393,41.89495667716833,230793.88108002627,5.4115181637628025,1953,18,19.479212735559386,321,Distribution Center,Mixed-Use,High Pollution,Residential,Poor,Basic,Solar Panels
Warehouse 4,Sold,Worcester,131.77194231349623,324516,42762103.63180654,44,2.408851358828569,18.558398176912014,1087834.605969578,11.647225379105459,1966,16,27.919007685541068,145,Flex Space,Commercial,None,Residential,Poor,Moderate,Green Roof
Warehouse 5,Sold,Lowell,56.52316887521421,128786,7279392.8267633375,32,0.9416058095313558,45.731729792092196,1652201.0610689628,4.563242899220113,2016,12,17.554775312621945,359,Distribution Center,Commercial,Mild Pollution,Residential,Poor,High,None
Warehouse 6,Sold,Springfield,56.51906845715445,442280,24997253.59723027,51,11.336118114845535,28.718720434909283,247690.6928162339,6.83944960774413,2023,20,20.743966460043435,292,Dry Storage,Commercial,Mild Pollution,Residential,Fair,High,Solar Panels
Warehouse 7,Sold,Lynn,39.87421406859391,12813,510908.30486089375,46,18.61040221222465,9.950946827743739,1594188.081401672,8.025433336410757,1996,45,31.375422569410528,464,Distribution Center,Mixed-Use,Mild Pollution,Industrial,Poor,High,None
Warehouse 8,Sold,New Bedford,177.24994478173898,36598,6486993.479122083,21,16.900549177875785,7.840344500630205,1632565.4084855188,7.94624661870848,2005,40,43.30436052153542,420,Flex Space,Commercial,High Pollution,Industrial,Fair,Basic,Solar Panels
Warehouse 9,Sold,Newton,132.1895519963455,262951,34759374.88699105,99,13.549370154640293,29.24714944032994,990434.3001590099,4.031679544097142,1972,29,26.07358742759683,482,Distribution Center,Industrial,Protected Area,Residential,Poor,Basic,Solar Panels
Warehouse 10,Sold,Lawrence,150.37233822532772,98106,14752428.613934001,32,2.8684053929326416,38.33229698125975,161755.1045204493,8.009301851659924,1967,30,38.67901094214193,129,Dry Storage,Commercial,High Pollution,Mixed-Use,Poor,Basic,Insulated
Warehouse 11,Sold,Springfield,33.499364030286415,294226,9856383.88117505,94,5.1592045365990415,39.293776739366926,390450.2099320135,7.070179663819274,1950,26,45.06736853842594,439,Cold Storage,Mixed-Use,Protected Area,Industrial,Fair,High,Green Roof
Warehouse 12,Sold,Quincy,194.88467486753905,296385,57760894.36061556,39,17.52267340839706,14.512112817622782,1429481.236565768,11.776634683796457,1984,22,18.65203761184648,434,Cold Storage,Mixed-Use,High Pollution,Residential,Poor,Basic,Insulated
Warehouse 13,Sold,Lynn,171.51524893607169,232286,39840591.11436435,12,3.737864009472319,11.008091186696207,1437966.9927323514,5.273272671950639,2013,33,42.287678816086405,472,Cold Storage,Commercial,Mild Pollution,Industrial,Fair,Moderate,None
Warehouse 14,Sold,New Bedford,66.09764881530694,442785,29267047.430685684,47,5.640944224183647,1.8210589201267382,1801792.7865769474,6.83323357407596,2007,39,40.2960879332411,34,Flex Space,Mixed-Use,Mild Pollution,Mixed-Use,Poor,High,Solar Panels
Warehouse 15,Sold,Brockton,60.910244425207104,16745,1019942.0429000929,18,2.6790529587892946,34.280758408857295,1186237.9857814366,7.355851880718558,2008,47,24.2774919179254,351,Dry Storage,Commercial,Mild Pollution,Mixed-Use,Poor,Basic,Green Roof
Warehouse 16,Sold,Lowell,61.17876667508375,293173,17935962.562434327,21,13.55455380514678,4.751844663243411,292009.36704186595,7.12554829680759,1950,29,49.580798380034686,155,Distribution Center,Commercial,None,Mixed-Use,Poor,High,Solar Panels
Warehouse 17,Sold,Cambridge,81.72118130312141,149097,12184382.968751494,13,18.88524787672787,21.617298886530364,286759.06573469564,9.3266466212149,1952,22,20.50289485743828,21,Distribution Center,Industrial,None,Residential,Poor,High,Solar Panels
Warehouse 18,Sold,Quincy,119.20859337748043,237732,28339697.320815176,21,5.45246382874818,30.48242603689651,1456208.096845806,5.724102860382151,2016,45,20.192130641267823,96,Distribution Center,Mixed-Use,Protected Area,Residential,Good,Basic,Insulated
Warehouse 19,Sold,Springfield,103.43065316915968,390539,40393703.85803045,8,9.560591496216466,46.918338301064175,408380.0969604072,5.768572422511935,1986,13,40.89036658612791,444,Distribution Center,Industrial,None,Mixed-Use,Fair,High,None
Warehouse 20,Sold,Worcester,79.50895383366714,150360,11954966.298430191,46,12.723360820252964,16.278304710832664,690351.7242523804,9.833687588006825,1978,9,27.38629272204337,118,Flex Space,Mixed-Use,High Pollution,Industrial,Good,Basic,Green Roof
Warehouse 21,Sold,Springfield,134.0149921028045,94186,12622336.046194745,7,19.98937833949105,13.23883595987947,1000063.4134977321,8.002324149425437,1982,24,23.23179979124173,432,Flex Space,Commercial,High Pollution,Industrial,Poor,Basic,Green Roof
Warehouse 22,Sold,Lawrence,53.71395631084711,404756,21741046.100553233,23,2.185680493451685,33.05384756001882,98291.51127349483,7.321245408458483,2010,15,17.14651221356412,354,Dry Storage,Mixed-Use,Protected Area,Mixed-Use,Poor,Basic,Green Roof
Warehouse 23,Sold,New Bedford,79.66459025098709,364912,29070564.9576682,96,10.021558910163611,31.3427125706255,535197.1026888671,5.353624413418014,1953,36,40.61329723738176,275,Distribution Center,Commercial,Protected Area,Residential,Fair,High,None
Warehouse 24,Sold,Quincy,92.28151335992759,218030,20120138.357865013,75,7.76389038605975,17.273379382098103,845384.7365891961,5.500217783297333,1963,13,41.45287224544308,231,Cold Storage,Mixed-Use,Mild Pollution,Industrial,Fair,High,Green Roof
Warehouse 25,Sold,Boston,107.5318973168961,204950,22038662.355097856,86,17.32982128792487,46.47698993997954,595290.8210617522,4.084413094527204,1982,27,32.662560129205616,83,Flex Space,Industrial,None,Industrial,Fair,Basic,None
Warehouse 26,Sold,New Bedford,163.47991343681232,46846,7658380.02486091,22,9.571757847131952,42.39825404699201,315922.1385617534,4.731410150893674,1971,44,48.29254452765491,491,Dry Storage,Industrial,Mild Pollution,Industrial,Fair,High,Green Roof
Warehouse 27,Sold,Lynn,63.944542966921155,499364,31931602.754133616,89,2.308452739244447,11.975144747388976,1469623.9027025849,8.454709557521928,1997,37,22.72653081690617,342,Dry Storage,Commercial,None,Residential,Poor,Basic,Solar Panels
Warehouse 28,Sold,Lawrence,117.41985453031397,343076,40283934.01284199,22,12.725040491203012,12.717984726291636,1635637.9275775705,11.134985040067278,1952,7,18.78476181917349,319,Flex Space,Industrial,None,Mixed-Use,Fair,Moderate,None
Warehouse 29,Sold,Springfield,130.71047670654724,153554,20071116.540197156,92,15.438534303451206,26.10271699746695,552084.0034802634,6.2973181210444595,1972,8,37.09867075737847,422,Cold Storage,Commercial,Protected Area,Residential,Good,High,Insulated
Warehouse 30,Sold,Springfield,37.89657016239961,290555,11011037.943536019,29,0.1573369081457304,38.905032984805295,1560118.0144822914,6.621977807169025,2017,37,40.33634563198819,111,Cold Storage,Commercial,Mild Pollution,Industrial,Fair,High,Green Roof
Warehouse 31,Sold,Quincy,133.28262482324453,449191,59869355.52697804,13,17.19323803987053,3.1579785900347552,801829.450582562,4.924844884892098,1970,41,18.996238822072897,434,Distribution Center,Commercial,Mild Pollution,Mixed-Use,Fair,Moderate,Insulated
Warehouse 32,Sold,Lowell,58.98910102683956,458761,27061898.976173945,82,3.801857700112746,34.97342253300063,1038037.2921653055,7.109047564856822,1992,14,13.064430570444529,146,Flex Space,Mixed-Use,None,Residential,Good,Moderate,None
Warehouse 33,Sold,Quincy,41.05877080749752,345941,14203912.231916498,2,11.086180356602219,32.76355897172275,1719202.096041648,4.297773636554633,1975,12,42.42065946345488,200,Cold Storage,Commercial,None,Mixed-Use,Good,Moderate,Solar Panels
Warehouse 34,Sold,Cambridge,191.31054133306665,319451,61114343.73938947,29,8.374370263680257,12.342524699736424,1512409.6795146952,11.340805570095203,1990,36,49.060078945840495,470,Flex Space,Industrial,Protected Area,Industrial,Good,Basic,Insulated
Warehouse 35,Sold,Springfield,194.15744562267508,401309,77917130.34539011,85,14.421110950549554,34.38629764882609,1619977.8600665466,9.38489078499623,1987,40,35.786891442891374,430,Dry Storage,Mixed-Use,High Pollution,Residential,Good,Basic,Insulated
Warehouse 36,Sold,Lowell,167.4275491797984,475474,79607446.51871547,79,7.486116134236261,47.06897637135205,316848.0748433958,11.92599047514575,1960,17,21.114676005755765,151,Dry Storage,Industrial,Mild Pollution,Mixed-Use,Fair,Moderate,Solar Panels
Warehouse 37,Sold,Lowell,81.78434075947303,289186,23650886.366868965,52,17.408287215966045,3.2925064036166574,185952.88037577248,11.06258530142795,1978,40,49.86690434211168,366,Dry Storage,Commercial,Mild Pollution,Residential,Good,Basic,Solar Panels
Warehouse 38,Sold,Quincy,46.60425938108526,57930,2699784.745946269,27,14.636877583079924,16.662950709311062,1792139.221721575,7.783924749585221,2009,29,45.7306654506831,82,Flex Space,Commercial,Protected Area,Industrial,Poor,High,None
Warehouse 39,Sold,Brockton,146.31961450706666,253656,37114848.1374045,50,12.989492104152136,22.470659116651408,806276.825663634,8.157480249203015,2016,27,30.535225851211756,337,Distribution Center,Industrial,Protected Area,Mixed-Use,Fair,Moderate,Green Roof
Warehouse 40,Sold,New Bedford,104.82592393573222,442629,46398993.88574921,95,15.9451878517008,45.06375758730979,611365.3722358777,5.524608372137551,2014,1,43.01285139367335,176,Distribution Center,Mixed-Use,Mild Pollution,Industrial,Poor,High,Insulated
Warehouse 41,Sold,Lynn,50.746499923612404,249459,12659171.124444427,79,15.105058395074806,48.15081088384868,1463157.6958105578,7.696314742716445,2010,34,42.632820930518676,177,Cold Storage,Industrial,Mild Pollution,Mixed-Use,Fair,Basic,Insulated
Warehouse 42,Sold,Brockton,114.18007471891593,229695,26226592.262561396,23,0.8151796309389113,22.76164707832028,1681010.4133307205,11.224222987942493,1968,4,47.39195878693998,63,Flex Space,Commercial,None,Industrial,Fair,Moderate,None
Warehouse 43,Sold,Springfield,35.84604858958713,365027,13084775.57851122,88,7.955213641512079,37.751392194967366,1731854.7627016867,4.406827389086569,1995,24,43.6369537509384,268,Distribution Center,Mixed-Use,High Pollution,Industrial,Poor,Basic,Green Roof
Warehouse 44,Sold,Springfield,184.58446835339296,300900,55541466.527535945,44,18.623065216598146,27.051390164459665,666194.4251941934,10.908454423986477,1998,21,35.747169438286576,448,Flex Space,Commercial,Mild Pollution,Residential,Good,High,None
Warehouse 45,Sold,Newton,73.99259687200288,58268,4311400.634537864,77,2.601912952945302,27.351363802327448,1711814.1628432644,6.727582413140878,1971,33,34.372148758260295,120,Distribution Center,Commercial,Protected Area,Industrial,Good,Basic,Insulated
Warehouse 46,Sold,Springfield,142.62878834017692,437430,62390110.88364359,22,14.768221353597818,14.626876238251466,129821.19152997351,11.19610212077048,2006,7,28.69429153326447,241,Dry Storage,Industrial,None,Residential,Poor,High,Insulated
Warehouse 47,Sold,Lawrence,82.99088293519986,217943,18087281.999546263,43,19.49437704557306,11.630856047330097,146839.90834645182,11.527039250731878,1963,1,35.059425598830295,170,Dry Storage,Commercial,None,Industrial,Good,Basic,Solar Panels
Warehouse 48,Sold,Fall River,118.41156360022784,263916,31250706.21911773,37,1.1387527179949355,15.112261950278016,1265862.4305896012,9.366919096015248,1993,41,41.80866346121531,361,Cold Storage,Industrial,Protected Area,Industrial,Fair,High,Solar Panels
Warehouse 49,Sold,Worcester,122.94074748835754,426818,52473323.96148579,61,13.675658224469547,28.260072355596886,173057.41977531515,9.315390292741423,1965,3,48.76150505210213,336,Dry Storage,Mixed-Use,Protected Area,Industrial,Fair,Basic,Green Roof
Warehouse 50,Sold,Boston,61.425257439339596,189403,11634128.034783237,97,9.416267411890503,2.428604115082361,682987.878594815,7.622034701669921,1961,44,28.691494327284804,28,Distribution Center,Commercial,None,Mixed-Use,Fair,Moderate,Insulated
Warehouse 51,Sold,Newton,194.82938671997496,53901,10501498.77359337,56,11.62558758195697,45.455198273463886,1361874.173181502,10.68432179634966,2004,15,32.94612811955028,299,Cold Storage,Commercial,Protected Area,Residential,Good,Moderate,Insulated
